reversion_init,word_init,reversion_detal1,reversion_week1,word_week1,reversion_detal2,reversion_week2,word_week1,reversion_detal3,reversion_week3,word_week3,reversion_detal4,reversion_week4,word_week4,reversion_month,word_month,revert,log_word_month
0.00,7,2.00,2.00,0,-2,0,0,0,0,0,0,0,0,0,0,1,0.00
1.00,144,-0.71,0.29,33,-0.142857143,0.142857143,35.28571429,0,0.142857143,38.42857143,0,0.142857143,32.71428571,0.178571429,34.85714286,1,1.55
1.14,232.5714286,-1.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
22.57,11257,-16.57,6.00,1384.714286,15.14285714,21.14285714,7326.857143,0.857142857,22,11387,3.285714286,25.28571429,9343.571429,18.60714286,7360.535714,1,3.87
0.14,4.571428571,-0.14,0.00,0,0.142857143,0.142857143,62,0,0.142857143,2.428571429,-0.142857143,0,0,0.071428571,16.10714286,1,1.23
1.86,31.14285714,-1.00,0.86,32.57142857,-0.857142857,0,0,0,0,0,1,1,243.7142857,0.464285714,69.07142857,1,1.85
0.86,-17.28571429,-0.71,0.14,37.85714286,0,0.142857143,0.571428571,0.285714286,0.428571429,34.71428571,0.142857143,0.571428571,168,0.321428571,60.28571429,1,1.79
3.57,216.1428571,2.57,6.14,581.7142857,-5.714285714,0.428571429,111.7142857,1.142857143,1.571428571,109.1428571,-1.571428571,0,0,2.035714286,200.6428571,1,2.30
9.43,3233.714286,-4.00,5.43,1659.714286,9.428571429,14.85714286,6859.428571,-8,6.857142857,1747.857143,-3.142857143,3.714285714,1166.714286,7.714285714,2858.428571,1,3.46
2.57,274.7142857,-0.71,1.86,111.2857143,-1.571428571,0.285714286,122.2857143,-0.285714286,0,0,1.285714286,1.285714286,-7.428571429,0.857142857,56.53571429,1,1.76
1.14,21.28571429,1.29,2.43,171.2857143,-2,0.428571429,-44.28571429,0,0.428571429,20.85714286,-0.428571429,0,0,0.821428571,36.96428571,1,1.58
1.71,952,0.43,2.14,90.28571429,0.285714286,2.428571429,-229.2857143,-2.285714286,0.142857143,2.428571429,-0.142857143,0,0,1.178571429,-34.14285714,1,1.52
5.43,158.7142857,1.86,7.29,2686.142857,-3.428571429,3.857142857,1072.285714,-0.571428571,3.285714286,1312.428571,-0.142857143,3.142857143,942.5714286,4.392857143,1503.357143,1,3.18
31.29,2120.857143,-7.14,24.14,5782.142857,41.85714286,66,8312.714286,-36.42857143,29.57142857,3126.142857,11.28571429,40.85714286,6205.428571,40.14285714,5856.607143,1,3.77
4.71,2033.857143,-2.29,2.43,-73.28571429,-1.428571429,1,-77.14285714,0.285714286,1.285714286,-52.71428571,1.714285714,3,302.1428571,1.928571429,24.75,1,1.41
0.14,0.285714286,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.43,121.8571429,-0.43,0.00,0,0.142857143,0.142857143,8.142857143,-0.142857143,0,0,0,0,0,0.035714286,2.035714286,1,0.48
7.86,-266.5714286,-5.29,2.57,181.2857143,1.714285714,4.285714286,-265.7142857,-0.142857143,4.142857143,9.714285714,-1.857142857,2.285714286,-24.28571429,3.321428571,-24.75,1,1.38
0.14,0,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.29,-65.42857143,0.00,0.29,139.8571429,0.857142857,1.142857143,4.857142857,-0.714285714,0.428571429,41.14285714,0.571428571,1,133.5714286,0.714285714,79.85714286,1,1.91
13.57,1588.571429,7.00,20.57,-937,-18.71428571,1.857142857,418.5714286,-1.571428571,0.285714286,-27.14285714,-0.142857143,0.142857143,88.42857143,5.714285714,-114.2857143,1,2.05
0.14,-7.714285714,0.29,0.43,16.14285714,0.142857143,0.571428571,15.71428571,3.285714286,3.857142857,379,-3.428571429,0.428571429,4.857142857,1.321428571,103.9285714,1,2.02
4.43,920.7142857,-1.43,3.00,3646.285714,7.714285714,10.71428571,3936.714286,-9.857142857,0.857142857,341.7142857,0.428571429,1.285714286,884.1428571,3.964285714,2202.214286,1,3.34
0.14,-9.285714286,0.14,0.29,45.28571429,-0.285714286,0,0,0,0,0,0,0,0,0.071428571,11.32142857,1,1.09
5.00,-17710,-0.29,4.71,-752.5714286,-2.857142857,1.857142857,-1856.571429,1.857142857,3.714285714,-605.8571429,-0.857142857,2.857142857,-618.7142857,3.285714286,-958.4285714,1,2.98
0.14,-1981.285714,0.57,0.71,-1847,-0.714285714,0,0,0,0,0,0,0,0,0.178571429,-461.75,1,2.66
2.00,258,-0.57,1.43,420.1428571,1.428571429,2.857142857,288.2857143,-2.428571429,0.428571429,-12,0.571428571,1,-31.28571429,1.428571429,166.2857143,1,2.22
0.29,87,-0.29,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
30.86,9566.857143,-7.00,23.86,4772,-0.857142857,23,5055.571429,0.714285714,23.71428571,8838.571429,-1.142857143,22.57142857,5599.285714,23.28571429,6066.357143,1,3.78
5.14,234.1428571,4.57,9.71,1081.571429,-4.714285714,5,328.5714286,-2.142857143,2.857142857,228.5714286,10.28571429,13.14285714,1260.428571,7.678571429,724.7857143,1,2.86
11.14,214.7142857,-11.14,0.00,0,2.857142857,2.857142857,84,-2.857142857,0,0,0,0,0,0.714285714,21,1,1.34
9.14,11197.42857,-8.29,0.86,278.2857143,3.142857143,4,481.8571429,2.142857143,6.142857143,2527.285714,8.714285714,14.85714286,704.2857143,6.464285714,997.9285714,1,3.00
3.71,257.4285714,4.43,8.14,-505.7142857,-4.142857143,4,416.8571429,-2.428571429,1.571428571,26.57142857,-0.571428571,1,-20.28571429,3.678571429,-20.64285714,1,1.29
4.00,775.5714286,-1.71,2.29,-1733.285714,-2.285714286,0,0,0,0,0,0,0,0,0.571428571,-433.3214286,1,2.64
24.71,4178.428571,-11.00,13.71,9472.428571,10.28571429,24,12076.28571,6.857142857,30.85714286,10852.85714,-5.857142857,25,15707.57143,23.39285714,12027.28571,1,4.08
0.29,12.71428571,-0.29,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,0,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,104.5714286,-0.14,0.00,0,0.142857143,0.142857143,41.28571429,-0.142857143,0,0,0,0,0,0.035714286,10.32142857,1,1.05
